XLY,79.220001,79.4023073846153,80.3452113943662,0.463963095528739,0.438199062375829,0.599867080959895,279480393,-1,0.00976736387872279,0.770004,-12,-0.000704347834070941,-1,42.4422348039256,-0.15398103810339,3,-0.00456477913947884,0.491074052364772,0.155990108798922,-1,-1
XLF,19.690001,20.0070966451613,22.0915624375,0.145631096239048,0.113833310372852,0.663088258094787,2170718287,-1,-0.210776803754461,-4.619998,13,-1.82490476596277e-06,-1,52.1664927518455,-2.96489971370334,11,0.00203877230029548,0.178679836424078,0.0341386536691883,-1,-1
XLI,56.950001,57.9582356666667,57.9941773797468,0.187074617057562,0.584995116349903,0.745171655731367,397820075,-4,-0.0278781792771055,-1.61,-28,-0.000122645662466464,-1,39.5198223962416,-0.252536028380612,-13,-0.000696824849240052,0.381515178441338,0.186211276242919,-1,-4
XLE,69.660004,69.5619445555556,69.0061763676471,0.602740169356049,0.628582641761794,0.652097459473793,-166852795,-31,0.00836104012919936,0.580002000000007,11,0.00027316355957213,1,50.1735734762147,0.482383305590051,-3,-0.0075645854341102,-0.0290779952724451,0.345567007919645,-4,-31
XBI,58.669998,63.7094596216214,61.7921951219509,0.0249765101692442,0.575013274163409,0.712706265530562,4103783,-14,-0.0280667448821195,-1.670002,-8,-0.00165910140039895,-2,46.7590381191136,-1.41184027762304,-16,-0.0178253591289228,0.136808140426516,0.28296518696698,-3,-14
XLV,69.379997,71.1858332916667,72.3120374444445,0.033096666834516,0.276836225570741,0.408541951459707,112822482,-20,-0.0479799985668414,-3.410004,-5,-0.000177632173819284,-1,45.8714698976569,-0.975040332294386,-11,-0.00473928670265278,0.516508624404974,0.0922543608312343,-3,-20
XLU,48.48,48.929534744186,50.0591150442478,0.380630491132994,0.237302846991832,0.613832513768577,478969480,-20,-0.0340665545636063,-1.68,-15,6.20599594353481e-05,2,46.3171929960403,-1.08442269478204,4,0.00997665006226645,0.00997665006226645,0.183593778896332,2,-20
XLK,47.82,47.4197435128205,47.2238094761905,0.890908636363637,0.798269513054432,0.863371760151054,510455714,6,0.0158081066171278,0.75,3,1.13999282807588e-05,3,58.3819635752671,0.463119531883072,-48,0.00613571516963851,0.515215136325427,0.268434979617109,-1,6
QQQ,119.190002,118.074999928572,117.353333266667,0.873655444271268,0.791897728393291,0.786799391574702,611183805,-14,0.0130897700892643,1.550003,-1,2.22396374331684e-05,3,52.3774564084973,0.270889384322448,2,0.00884056529732824,0.610276364403054,0.237437728405316,-1,-14
TNA,73.339996,75.3518744375001,76.4001424714285,0.167231111238669,0.296043376048961,0.684782485157668,262046786,-14,-0.0748479579887524,-5.700005,-8,-0.0129573993586973,-1,32.8363809132572,-1.17178665705644,2,-0.002679331945735,0.582570255320253,0.989151016792813,-1,-14
PEJ,36.360001,35.8411536153847,35.4098483181818,0.72052457619014,0.801830894145961,0.67902844638985,-126830,35,0.0412690702748533,1.47000199999999,49,-0.10535652036628,-1,80.0293364019368,0.799789451925403,24,-0.0116968322995677,0.442414485208587,0.185136929595828,-2,35
MDY,277.049988,279.534282571429,281.596948118644,0.221002021481525,0.332151784409785,0.721806356576022,90780287,-11,-0.0362245497752562,-10.220001,-17,-0.0470634628109034,-1,34.3140087480954,-0.335321203621552,-60,-0.00252337789996793,0.363292023086917,0.228167326640949,-1,-11
VT,60.130001,60.4597502,60.1879763690476,0.36082439862543,0.477962600727343,0.709911157116141,8509268,2,-0.0151842824945856,-0.919998,6,-0.0012819628124076,-1,49.9476140651193,-0.139149859175314,-44,0.000674517733398439,0.18395271172218,0.183428455354685,-1,2
VTI,109.879997,110.391250041667,110.650714547619,0.406975591534291,0.470338194818914,0.605209363165727,28064183,-9,-0.0099611980050911,-1.10000599999999,-9,-0.000792160385647442,-1,38.5563843217742,-0.210871979052851,2,0.000749877303498847,0.375683752162005,0.1871218601366,-1,-9
VB,118.870003,120.50575769697,121.127026986486,0.15686339484839,0.348148882524816,0.733801334427339,9063278,-17,-0.0412828466578308,-5.00999400000001,-15,-0.0170203764900294,-1,32.7725201571337,-0.418354144647282,-60,-0.00339818250540291,0.357448297112393,0.253374188248595,-1,-17
